,concept,id,label_1,label_2,label_3,label_4,label_5,margin_error_dummy,race,type
32273,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_001E,Total:,,,,,False,Black or African American Alone,int
32322,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_043E,Male,Other,With earnings,"$45,000 to $49,999",,False,Black or African American Alone,int
32339,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_068E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$50,000 to $54,999",,False,Black or African American Alone,int
32406,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_088E,Female,Other,With earnings,"$35,000 to $39,999",,False,Black or African American Alone,int
32419,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_004E,Public transportation (excluding taxicab),,,,,False,Black or African American Alone,int
32445,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_059M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$15,000 to $17,499",,True,Black or African American Alone,int
32479,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
32488,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_025E,Income in the past 12 months at or above poverty level,Married-couple family,With related children under 18 years,Under 5 years only,,False,Black or African American Alone,int
32597,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_026E,Female,35 to 44 years,,,,False,Black or African American Alone,int
32600,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_009E,65 years and over,With health insurance coverage,,,,False,Black or African American Alone,int
32621,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_081M,Margin of Error for!!Female,Other,With earnings,"$12,500 to $14,999",,True,Black or African American Alone,int
32653,B25003B.  TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25003B_002M,Margin Of Error For!!Owner occupied,,,,,True,Black or African American Alone,int
32706,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_003E,Enrolled in school,"Enrolled in nursery school, preschool",,,,False,Black or African American Alone,int
32763,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_001M,Margin of Error for!!Total:,,,,,True,Black or African American Alone,int
32834,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_020M,Margin Of Error For!!Income in the past 12 months below poverty level,Female,6 to 11 years,,,True,Black or African American Alone,int
32964,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_005M,Margin Of Error For!!Walked,,,,,True,Black or African American Alone,int
32969,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_019E,Female,18 years and over:,,,,False,Black or African American Alone,int
32990,B19101B.  Family Income (Black or African American Alone Householder),B19101B_012M,"Margin of Error for!!$60,000 to $74,999",,,,,True,Black or African American Alone,int
32996,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_085E,Female,Other,With earnings,"$22,500 to $24,999",,False,Black or African American Alone,int
33001,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_030E,Income in the past 12 months at or above poverty level,Other family,"Male householder, no wife present:",,,False,Black or African American Alone,int
33064,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_009M,Margin of Error for!!65 years and over,With health insurance coverage,,,,True,Black or African American Alone,int
33092,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_029E,Female,65 to 74 years,,,,False,Black or African American Alone,int
33291,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_007E,Male,"Production, transportation, and material moving occupations:",,,,False,Black or African American Alone,int
33357,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_002M,Margin Of Error For!!Male:,,,,,True,Black or African American Alone,int
33359,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_002E,"Car, truck, or van - drove alone",,,,,False,Black or African American Alone,int
33373,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_003E,"1, attached",,,,,False,Black or African American Alone,int
33508,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_060M,Margin of Error for!!Householder 65 years and over,"$35,000 to $39,999",,,,True,Black or African American Alone,int
33613,B19001B.  Household Income (Black or African American Alone Householder),B19001B_016M,"Margin of Error for!!$150,000 to $199,999",,,,,True,Black or African American Alone,int
33661,B10051B.  GrndPrnts Living With Own GrndChldrn < 18 Yrs by Responsibility for Own GrndChldrn and Age of GrndPrnt (Black Alone),B10051B_003E,Grandparent responsible for own grandchildren under 18 years,30 to 59 years,,,,False,Black or African American Alone,int
33674,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_003E,Women who had a birth in the past 12 months,Now married (including separated and spouse absent),,,,False,Black or African American Alone,int
33702,B06004B.  Place of Birth (Black or African American Alone) in the United States,B06004B_002M,Margin Of Error For!!Born in state of residence,,,,,True,Black or African American Alone,int
33715,B22005B.  Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Black or African American Alone),B22005B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
33733,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_005E,Male,Sales and office occupations:,,,,False,Black or African American Alone,int
33787,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_015E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$22,500 to $24,999",,False,Black or African American Alone,int
33864,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_009E,Income in the past 12 months below poverty level,Male,16 and 17 years,,,False,Black or African American Alone,int
33892,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_020M,Margin Of Error For!!Female,16 to 64 years,In labor force,Civilian,Employed,True,Black or African American Alone,int
33902,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_003M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months:",,,,True,Black or African American Alone,int
33906,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_006E,Income in the past 12 months below poverty level,Male,6 to 11 years,,,False,Black or African American Alone,int
33934,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_008M,Margin Of Error For!!Foreign born,Speak only English,,,,True,Black or African American Alone,int
33939,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_011M,Margin Of Error For!!Income in the past 12 months below poverty level,Male,25 to 34 years,,,True,Black or African American Alone,int
33962,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_004M,Margin Of Error For!!Native,Speak another language,,,,True,Black or African American Alone,int
34021,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_016M,Margin Of Error For!!Male,85 years and over,,,,True,Black or African American Alone,int
34042,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_052M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Female,16 and 17 years,,,True,Black or African American Alone,int
34053,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_007E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$2,500 to $4,999",,False,Black or African American Alone,int
34056,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_066M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$40,000 to $44,999",,True,Black or African American Alone,int
34068,B19001B.  Household Income (Black or African American Alone Householder),B19001B_006E,"$25,000 to $29,999",,,,,False,Black or African American Alone,int
34126,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_002M,Margin Of Error For!!Income in the past 12 months below poverty level:,,,,,True,Black or African American Alone,int
34138,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_009M,Margin Of Error For!!In family households,"In female householder, no husband present, family:",,,,True,Black or African American Alone,int
34206,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_054E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$2,500 to $4,999",,False,Black or African American Alone,int
34232,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_011M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Under 5 years,,,,True,Black or African American Alone,int
34254,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_039M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Other family,"Female householder, no husband present",With related children under 18 years,Under 5 years and 5 to 17 years,True,Black or African American Alone,int
34345,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_024E,Female,25 to 29 years,,,,False,Black or African American Alone,int
34372,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_008M,Margin Of Error For!!Income in the past 12 months below poverty level,65 to 74 years,,,,True,Black or African American Alone,int
34396,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_057M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Female,55 to 64 years,,,True,Black or African American Alone,int
34420,B19101B.  Family Income (Black or African American Alone Householder),B19101B_013M,"Margin of Error for!!$75,000 to $99,999",,,,,True,Black or African American Alone,int
34517,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_017M,Margin Of Error For!!Female:,,,,,True,Black or African American Alone,int
34518,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_007M,Margin Of Error For!!Nonfamily households:,,,,,True,Black or African American Alone,int
34550,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
34586,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_032M,Margin of Error for!!Householder 25 to 44 years,"$100,000 to $124,999",,,,True,Black or African American Alone,int
34742,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_010M,Margin of Error for!!Householder under 25 years,"$40,000 to $44,999",,,,True,Black or African American Alone,int
34744,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_057M,Margin of Error for!!Householder 65 years and over,"$20,000 to $24,999",,,,True,Black or African American Alone,int
34814,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_004E,Male,16 to 64 years,In labor force:,,,False,Black or African American Alone,int
34818,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_016E,Income in the past 12 months at or above poverty level,65 to 74 years,,,,False,Black or African American Alone,int
34830,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_006M,Margin Of Error For!!Women who did not have a birth in the past 12 months,Now married (including separated and spouse absent),,,,True,Black or African American Alone,int
34837,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_027E,Female,65 years and over,Not in labor force,,,False,Black or African American Alone,int
34850,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_044M,Margin of Error for!!Male,Other,With earnings,"$50,000 to $54,999",,True,Black or African American Alone,int
34863,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_037E,Male,Other,With earnings,"$20,000 to $22,499",,False,Black or African American Alone,int
34975,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_062M,Margin of Error for!!Householder 65 years and over,"$45,000 to $49,999",,,,True,Black or African American Alone,int
34982,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_004E,Male,5 to 9 years,,,,False,Black or African American Alone,int
34997,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_002M,Margin Of Error For!!Male:,,,,,True,Black or African American Alone,int
35009,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_011M,Margin Of Error For!!Female,18 to 64 years,Veteran,,,True,Black or African American Alone,int
35013,B20017B.  Median Earnings by Sex by Work Exp. for the Pop. 16+ Yrs With Earnings (Black or African American Alone),B20017B_006M,"Margin of Error for!!Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months",,,,,True,Black or African American Alone,int
35030,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_019M,Margin of Error for!!Householder 25 to 44 years:,,,,,True,Black or African American Alone,int
35072,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_065M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$35,000 to $39,999",,True,Black or African American Alone,int
35074,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_003E,Family households,Married-couple family,,,,False,Black or African American Alone,int
35093,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_003M,"Margin Of Error For!!1, attached",,,,,True,Black or African American Alone,int
35095,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_007E,Female:,,,,,False,Black or African American Alone,int
35194,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_092M,Margin of Error for!!Female,Other,With earnings,"$55,000 to $64,999",,True,Black or African American Alone,int
35279,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_068M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$50,000 to $54,999",,True,Black or African American Alone,int
35285,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_018M,Margin of Error for!!Enrolled in school,Graduate or professional school,,,,True,Black or African American Alone,int
35303,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_012E,Householder under 25 years,"$50,000 to $59,999",,,,False,Black or African American Alone,int
35354,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_014E,Male,65 years and over,Not in labor force,,,False,Black or African American Alone,int
35410,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_015E,Enrolled in school,Enrolled in grade 11,,,,False,Black or African American Alone,int
35414,B19001B.  Household Income (Black or African American Alone Householder),B19001B_013M,"Margin of Error for!!$75,000 to $99,999",,,,,True,Black or African American Alone,int
35429,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_016M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$25,000 to $29,999",,True,Black or African American Alone,int
35453,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_026E,Male,Other:,,,,False,Black or African American Alone,int
35482,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_027M,Margin Of Error For!!Female,65 years and over,Not in labor force,,,True,Black or African American Alone,int
35495,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_012E,Female,Widowed,,,,False,Black or African American Alone,int
35530,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_063E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$25,000 to $29,999",,False,Black or African American Alone,int
35579,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_070E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$65,000 to $74,999",,False,Black or African American Alone,int
35580,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_011E,Income in the past 12 months at or above poverty level,Under 5 years,,,,False,Black or African American Alone,int
35596,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_067M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$45,000 to $49,999",,True,Black or African American Alone,int
35645,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_008M,Margin Of Error For!!In family households,"In male householder, no wife present, family",Nonrelatives,,,True,Black or African American Alone,int
35727,B19001B.  Household Income (Black or African American Alone Householder),B19001B_007M,"Margin of Error for!!$30,000 to $34,999",,,,,True,Black or African American Alone,int
35762,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_004M,Margin Of Error For!!Male,Under 18 years,Native,,,True,Black or African American Alone,int
35779,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_001E,Total:,,,,,False,Black or African American Alone,int
35785,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_010M,Margin Of Error For!!Male,18 years and over,Foreign born:,,,True,Black or African American Alone,int
35809,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_004E,Income in the past 12 months below poverty level,5 years,,,,False,Black or African American Alone,int
35811,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_006E,"Taxicab, motorcycle, bicycle, or other means",,,,,False,Black or African American Alone,int
35835,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_021M,Margin Of Error For!!Female,15 to 17 years,,,,True,Black or African American Alone,int
35865,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_002M,Margin Of Error For!!Income in the past 12 months below poverty level:,,,,,True,Black or African American Alone,int
35873,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_058E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$12,500 to $14,999",,False,Black or African American Alone,int
35906,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_011M,Margin Of Error For!!Female,Sales and office occupations:,,,,True,Black or African American Alone,int
35927,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_035E,Income in the past 12 months at or above poverty level,Male,6 to 11 years,,,False,Black or African American Alone,int
35935,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_068M,Margin of Error for!!Householder 65 years and over,"$150,000 to $199,999",,,,True,Black or African American Alone,int
36157,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_018M,Margin Of Error For!!Income in the past 12 months below poverty level,Female,Under 5 years,,,True,Black or African American Alone,int
36270,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_048M,Margin of Error for!!Householder 45 to 64 years,"$75,000 to $99,999",,,,True,Black or African American Alone,int
36373,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_019E,Householder 25 to 44 years:,,,,,False,Black or African American Alone,int
36427,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_001E,Total:,,,,,False,Black or African American Alone,int
36461,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_006M,Margin Of Error For!!Moved from abroad,,,,,True,Black or African American Alone,int
36471,B19001B.  Household Income (Black or African American Alone Householder),B19001B_009E,"$40,000 to $44,999",,,,,False,Black or African American Alone,int
36493,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_049E,Income in the past 12 months at or above poverty level,Female,6 to 11 years,,,False,Black or African American Alone,int
36523,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_035E,Male,Other,With earnings,"$15,000 to $17,499",,False,Black or African American Alone,int
36531,B10051B.  GrndPrnts Living With Own GrndChldrn < 18 Yrs by Responsibility for Own GrndChldrn and Age of GrndPrnt (Black Alone),B10051B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
36549,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_053E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$1 to $2,499 or loss",,False,Black or African American Alone,int
36551,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_009E,Nonfamily households,Householder not living alone,,,,False,Black or African American Alone,int
36636,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_019M,Margin Of Error For!!Female,18 years and over:,,,,True,Black or African American Alone,int
36641,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_003E,Male,16 to 64 years:,,,,False,Black or African American Alone,int
36713,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_022E,Female,18 and 19 years,,,,False,Black or African American Alone,int
36718,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_069M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$55,000 to $64,999",,True,Black or African American Alone,int
36746,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_041E,Income in the past 12 months at or above poverty level,Male,35 to 44 years,,,False,Black or African American Alone,int
36922,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_028E,Income in the past 12 months below poverty level,Female,55 to 64 years,,,False,Black or African American Alone,int
36981,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_005E,18 to 64 years:,,,,,False,Black or African American Alone,int
37073,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_065E,Householder 65 years and over,"$75,000 to $99,999",,,,False,Black or African American Alone,int
37104,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_009E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$7,500 to $9,999",,False,Black or African American Alone,int
37106,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_083E,Female,Other,With earnings,"$17,500 to $19,999",,False,Black or African American Alone,int
37318,B19025B.  Aggregate Household Income (Black or African American Alone Householder),B19025B_001M,Margin of Error for!!Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,True,Black or African American Alone,int
37323,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_085M,Margin of Error for!!Female,Other,With earnings,"$22,500 to $24,999",,True,Black or African American Alone,int
37324,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_012E,Female,"Natural resources, construction, and maintenance occupations:",,,,False,Black or African American Alone,int
37461,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_003M,Margin Of Error For!!Male,"Management, business, science, and arts occupations:",,,,True,Black or African American Alone,int
37518,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_007E,Income in the past 12 months below poverty level,18 to 64 years,,,,False,Black or African American Alone,int
37526,B19202B.  Median Nonfamily Household Income (Black or African American Alone Householder),B19202B_001E,Median nonfamily household income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,False,Black or African American Alone,int
37560,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_034M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Male,5 years,,,True,Black or African American Alone,int
37571,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_056E,Householder 65 years and over,"$15,000 to $19,999",,,,False,Black or African American Alone,int
37615,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_014M,Margin Of Error For!!Female,Under 18 years:,,,,True,Black or African American Alone,int
37656,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_068E,Householder 65 years and over,"$150,000 to $199,999",,,,False,Black or African American Alone,int
37697,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_012M,Margin Of Error For!!Income in the past 12 months below poverty level,Male,35 to 44 years,,,True,Black or African American Alone,int
37708,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_005E,Male,Some college or associate's degree,,,,False,Black or African American Alone,int
37734,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_016M,Margin Of Error For!!Female,16 to 64 years:,,,,True,Black or African American Alone,int
37757,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_019E,Income in the past 12 months below poverty level,Female,5 years,,,False,Black or African American Alone,int
37763,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_007M,Margin Of Error For!!Foreign born:,,,,,True,Black or African American Alone,int
37828,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_079M,Margin of Error for!!Female,Other,With earnings,"$7,500 to $9,999",,True,Black or African American Alone,int
37853,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_001E,Total:,,,,,False,Black or African American Alone,int
37890,B25014B.  OCCUPANTS PER ROOM (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25014B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
37933,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_033E,Income in the past 12 months at or above poverty level,Other family,"Male householder, no wife present",With related children under 18 years,Under 5 years and 5 to 17 years,False,Black or African American Alone,int
